area,direction,homeName,homeUrl,location,postDate,price,roomContent
5,西卧,合租·中海花湾壹号,https://gz.lianjia.com/zufang/GZ2257656937737371648.html,广州荔湾广钢新城,2019-05-16,1090,4居室
78,南,珠光新城御景,https://gz.lianjia.com/zufang/GZ2204119313865523200.html,广州天河珠江新城东,2019-03-03,7800,2室1厅
73,西北,锦绣生态园菁华轩,https://gz.lianjia.com/zufang/GZ2218852816192552960.html,广州番禺钟村,2019-03-23,2400,2室1厅
110,北,南国奥林匹克花园,https://gz.lianjia.com/zufang/GZ2263844583195033600.html,广州番禺汉溪,2019-05-24,4300,3室2厅
11,北卧,合租·今日丽舍,https://gz.lianjia.com/zufang/GZ2260725583522832384.html,广州番禺大石,2019-05-20,1460,3居室
50,东南,尚德大厦,https://gz.lianjia.com/zufang/GZ2242119236589715456.html,广州天河龙口东,2019-04-24,4500,1室1厅
137,西北,碧桂园中新首府,https://gz.lianjia.com/zufang/GZ2248298425298714624.html,广州增城福和镇,2019-05-03,2800,4室2厅
66,南,华侨城(番禺),https://gz.lianjia.com/zufang/GZ2254786941462003712.html,广州番禺市桥,2019-05-12,2500,2室1厅
11,北卧,合租·六运小区,https://gz.lianjia.com/zufang/GZ2246904587321606144.html,广州天河天河南,2019-05-01,2460,4居室
30,东,翠馨华庭,https://gz.lianjia.com/zufang/GZ2262296472332804096.html,广州海珠广州大道南,2019-05-22,3300,2室1厅-复式
30,南,五羊小区,https://gz.lianjia.com/zufang/GZ2264625858457378816.html,广州越秀五羊新城,2019-05-26,2500,1室0厅
97,南,整租·云景花园云桦苑,https://gz.lianjia.com/zufang/GZ2267253901374005248.html,广州白云京溪,2019-05-29,5000,3室2厅
10,西卧,合租·嘉怡苑,https://gz.lianjia.com/zufang/GZ2250035029516222464.html,广州天河林和,2019-05-05,2060,4居室
76,西南,整租·广州雅居乐花园十年小雅,https://gz.lianjia.com/zufang/GZ2258787888206987264.html,广州番禺雅居乐,2019-05-17,4200,2室1厅
65,东,金碧新城,https://gz.lianjia.com/zufang/GZ2226701797991653376.html,广州白云石井,2019-04-03,3500,2室2厅
107,东南,整租·广信春兰花园,https://gz.lianjia.com/zufang/GZ2252199415974461440.html,广州白云京溪,2019-05-08,4800,3室1厅
